candidate_id,dataset,horizon_step,horizon_group,mae
Control_C_HorizonRouting,PJM,8,Short (1-8),269.4645019130953
Control_C_HorizonRouting,PJM,9,Medium (9-16),274.79204228410475
Control_C_HorizonRouting,PJM,10,Medium (9-16),278.72520300405114
Control_C_HorizonRouting,PJM,11,Medium (9-16),276.9064452242351
Control_C_HorizonRouting,PJM,12,Medium (9-16),273.6027524826085
Control_C_HorizonRouting,PJM,13,Medium (9-16),265.69372976466315
Control_C_HorizonRouting,PJM,14,Medium (9-16),273.09212815611266
Control_C_HorizonRouting,PJM,15,Medium (9-16),254.6115101006069
Control_C_HorizonRouting,PJM,16,Medium (9-16),262.72908353069556
Control_C_HorizonRouting,PJM,17,Long (17-24),268.7051219282633
Control_C_HorizonRouting,PJM,18,Long (17-24),265.34994477160825
Control_C_HorizonRouting,PJM,19,Long (17-24),265.0397754544719
Control_C_HorizonRouting,PJM,20,Long (17-24),260.8956656467743
Control_C_HorizonRouting,PJM,21,Long (17-24),259.9385050003187
Control_C_HorizonRouting,PJM,22,Long (17-24),256.49573357414823
Control_C_HorizonRouting,PJM,23,Long (17-24),267.6154199260066
Control_C_HorizonRouting,PJM,24,Long (17-24),275.2047185404198
Control_C_HorizonRouting,GEFCom,1,Short (1-8),4.982361078023839
Control_C_HorizonRouting,GEFCom,2,Short (1-8),6.529578382468171
Control_C_HorizonRouting,GEFCom,3,Short (1-8),7.846453920219279
Control_C_HorizonRouting,GEFCom,4,Short (1-8),8.90193163583065
Control_C_HorizonRouting,GEFCom,5,Short (1-8),10.014120954525305
Control_C_HorizonRouting,GEFCom,6,Short (1-8),10.927921987671647
Control_C_HorizonRouting,GEFCom,7,Short (1-8),11.75974118610639
Control_C_HorizonRouting,GEFCom,8,Short (1-8),12.592381337102577
Control_C_HorizonRouting,GEFCom,9,Medium (9-16),13.001617199563759
Control_C_HorizonRouting,GEFCom,10,Medium (9-16),13.569590072839063
Control_C_HorizonRouting,GEFCom,11,Medium (9-16),14.1863281510938
Control_C_HorizonRouting,GEFCom,12,Medium (9-16),14.459004219391195
Control_C_HorizonRouting,GEFCom,13,Medium (9-16),14.851976005881856
Control_C_HorizonRouting,GEFCom,14,Medium (9-16),15.281961224718218
Control_C_HorizonRouting,GEFCom,15,Medium (9-16),15.155628648416512
Control_C_HorizonRouting,GEFCom,16,Medium (9-16),15.368976537138549
Control_C_HorizonRouting,GEFCom,17,Long (17-24),15.524015189671942
Control_C_HorizonRouting,GEFCom,18,Long (17-24),15.459963009870247
Control_C_HorizonRouting,GEFCom,19,Long (17-24),15.611645384189979
Control_C_HorizonRouting,GEFCom,20,Long (17-24),15.6289402121464
Control_C_HorizonRouting,GEFCom,21,Long (17-24),15.822809143814148
Control_C_HorizonRouting,GEFCom,22,Long (17-24),15.830519163451541
Control_C_HorizonRouting,GEFCom,23,Long (17-24),15.990599940795601
Control_C_HorizonRouting,GEFCom,24,Long (17-24),16.362251110598447
Control_C_HorizonRouting,UCI,1,Short (1-8),6.713843611433581
Control_C_HorizonRouting,UCI,2,Short (1-8),6.972189262690604
Control_C_HorizonRouting,UCI,3,Short (1-8),7.385865894821864
Control_C_HorizonRouting,UCI,4,Short (1-8),7.379867609590203
Control_C_HorizonRouting,UCI,5,Short (1-8),7.661183842462035
Control_C_HorizonRouting,UCI,6,Short (1-8),8.25939741018113
Control_C_HorizonRouting,UCI,7,Short (1-8),8.33538464438363
Control_C_HorizonRouting,UCI,8,Short (1-8),8.302887533177064
Control_C_HorizonRouting,UCI,9,Medium (9-16),8.487909010997226
Control_C_HorizonRouting,UCI,10,Medium (9-16),8.622803338125394
Control_C_HorizonRouting,UCI,11,Medium (9-16),8.588521214972426
Control_C_HorizonRouting,UCI,12,Medium (9-16),8.39568904619646
Control_C_HorizonRouting,UCI,13,Medium (9-16),8.212722370688136
Control_C_HorizonRouting,UCI,14,Medium (9-16),8.482756803897685
Control_C_HorizonRouting,UCI,15,Medium (9-16),8.772502938845236
Control_C_HorizonRouting,UCI,16,Medium (9-16),8.913400136344816
Control_C_HorizonRouting,UCI,17,Long (17-24),8.946928246853957
Control_C_HorizonRouting,UCI,18,Long (17-24),9.128436119638137
Control_C_HorizonRouting,UCI,19,Long (17-24),9.198622038673143
Control_C_HorizonRouting,UCI,20,Long (17-24),8.883866320955198
Control_C_HorizonRouting,UCI,21,Long (17-24),8.564814183171979
Control_C_HorizonRouting,UCI,22,Long (17-24),8.510501188805145
Control_C_HorizonRouting,UCI,23,Long (17-24),8.547447314069618
Control_C_HorizonRouting,UCI,24,Long (17-24),8.755026232489996
Control_D_DynamicConfidence,PJM,1,Short (1-8),123.74162424651836
Control_D_DynamicConfidence,PJM,2,Short (1-8),141.9033226125031
Control_D_DynamicConfidence,PJM,3,Short (1-8),163.06839342536367
Control_D_DynamicConfidence,PJM,4,Short (1-8),191.30222041876263
Control_D_DynamicConfidence,PJM,5,Short (1-8),211.3957257988624
Control_D_DynamicConfidence,PJM,6,Short (1-8),227.8781521547912
