candidate_id,dataset,seed,mean_w_lstm,mean_w_tcn,mean_w_cnn,std_w_lstm,std_w_tcn,std_w_cnn,mean_entropy,effective_n_experts,max_w_expert,min_w_expert
F3,PJM,2024,0.3422737419605255,0.33291125297546387,0.32481497526168823,0.00026588933542370796,0.0004966426640748978,0.0006991859409026802,1.0983822345733643,2.999309539794922,0.34280896186828613,0.3233444094657898
F3,PJM,3407,0.36920058727264404,0.3330419063568115,0.29775747656822205,0.0021689392160624266,0.002126451348885894,0.0008539199479855597,1.0947638750076294,2.9884772300720215,0.3734405040740967,0.29578641057014465
F3,GEFCom,42,0.41588035225868225,0.29733237624168396,0.2867873013019562,0.04702259227633476,0.01279172208160162,0.0363461934030056,1.07845938205719,2.940499782562256,0.4845912456512451,0.22074684500694275
F3,GEFCom,123,0.3537898063659668,0.28687232732772827,0.35933786630630493,0.019834615290164948,0.007177033927291632,0.015335512347519398,1.0926302671432495,2.982109308242798,0.3984627425670624,0.2789376974105835
F3,GEFCom,999,0.3623514473438263,0.2828982472419739,0.35475030541419983,0.011303828097879887,0.005233946722000837,0.009906722232699394,1.0923221111297607,2.9811909198760986,0.40227779746055603,0.2706965506076813
F3,GEFCom,2024,0.3705267608165741,0.2963002920150757,0.3331729471683502,0.0357607938349247,0.010897689498960972,0.026927191764116287,1.0914238691329956,2.978525161743164,0.4176660180091858,0.27652662992477417
F3,GEFCom,3407,0.38317790627479553,0.29819056391716003,0.31863150000572205,0.025762159377336502,0.014338081702589989,0.020221419632434845,1.090951681137085,2.9771313667297363,0.4137594997882843,0.2717515826225281
F3,UCI,42,0.3714931011199951,0.31667909026145935,0.31182780861854553,0.04732202738523483,0.03756722807884216,0.024508358910679817,1.0892143249511719,2.9720537662506104,0.4906143248081207,0.23877966403961182
F3,UCI,123,0.3321581780910492,0.2922382354736328,0.3756035566329956,0.0038186688907444477,0.02306223474442959,0.02381986565887928,1.09171724319458,2.9794235229492188,0.4845651686191559,0.18787260353565216
F3,UCI,999,0.32312634587287903,0.3007817268371582,0.3760918974876404,0.004856047686189413,0.019764360040426254,0.01989327371120453,1.0929676294326782,2.983121871948242,0.42993226647377014,0.22840416431427002
F3,UCI,2024,0.3524697721004486,0.321260005235672,0.3262702524662018,0.012278825975954533,0.023277174681425095,0.027528507634997368,1.0954941511154175,2.9908738136291504,0.551787257194519,0.11131229996681213
F3,UCI,3407,0.379162460565567,0.298031210899353,0.32280632853507996,0.01959778368473053,0.029754022136330605,0.025614768266677856,1.090596318244934,2.9761369228363037,0.48413729667663574,0.18291616439819336
F4,PJM,42,0.3728485405445099,0.32965412735939026,0.29749733209609985,0.0012021856382489204,0.00796555820852518,0.0078869154676795,1.0941349267959595,2.986599922180176,0.3774893283843994,0.27207720279693604
F4,PJM,123,0.371508926153183,0.31745609641075134,0.3110349774360657,0.017061715945601463,0.01461153943091631,0.003134374739602208,1.0946139097213745,2.9880423545837402,0.4122578203678131,0.28350192308425903
F4,PJM,999,0.3314815163612366,0.3593516945838928,0.3091667592525482,0.003226484637707472,0.006884682923555374,0.0044069597497582436,1.0966060161590576,2.993988037109375,0.37495583295822144,0.30104994773864746
F4,PJM,2024,0.3481791615486145,0.31938281655311584,0.33243799209594727,0.008394368924200535,0.013010748662054539,0.0053075160831213,1.0975815057754517,2.996910333633423,0.36515137553215027,0.290900856256485
F4,PJM,3407,0.32679760456085205,0.34396469593048096,0.329237699508667,0.0012666143011301756,0.005939204711467028,0.005897495895624161,1.0982482433319092,2.998908042907715,0.36614036560058594,0.30997735261917114
F4,GEFCom,42,0.4135672152042389,0.2806822657585144,0.3057505190372467,0.03466494753956795,0.016072062775492668,0.021103177219629288,1.0814229249954224,2.9490573406219482,0.4857530891895294,0.2448076456785202
F4,GEFCom,123,0.3624086380004883,0.287801593542099,0.3497897684574127,0.03442376106977463,0.011395477689802647,0.029044704511761665,1.090612530708313,2.9761099815368652,0.42777326703071594,0.26128679513931274
