dataset,regime_category,regime_name,n_windows,mae_caeg,mae_equal,mae_best_expert,delta_equal,delta_best_expert,caeg_win_rate_equal,caeg_win_rate_best
UCI,Ramp_Magnitude,medium,1311,7.8851423263549805,7.906317234039307,6.952868938446045,-0.02117462456226349,0.9322738647460938,0.5408085430968727,0.36536994660564454
UCI,Trend_Slope,high,1160,8.450715065002441,8.71053695678711,7.696903705596924,-0.259822279214859,0.7538121342658997,0.5939655172413794,0.44482758620689655
UCI,Trend_Slope,low,1565,8.104681968688965,8.11511516571045,7.078090190887451,-0.010433102026581764,1.0265918970108032,0.5482428115015975,0.3488817891373802
UCI,Trend_Slope,medium,1197,7.603959560394287,7.709587097167969,6.794519901275635,-0.10562815517187119,0.8094398379325867,0.5856307435254804,0.38763575605680867
UCI,Expert_Disagreement,high,2135,9.190617561340332,9.265247344970703,8.018850326538086,-0.07462981343269348,1.171766996383667,0.550351288056206,0.3700234192037471
UCI,Expert_Disagreement,low,849,6.264396667480469,6.536794185638428,5.9477925300598145,-0.2723977863788605,0.316604346036911,0.6054181389870436,0.4216725559481743
UCI,Expert_Disagreement,medium,938,7.08758544921875,7.144684314727783,6.363259315490723,-0.057098306715488434,0.7243263125419617,0.5959488272921108,0.40298507462686567
UCI,Load_Level,normal,365,8.402021408081055,8.049232482910156,6.977005481719971,0.3527887165546417,1.4250160455703735,0.4328767123287671,0.3150684931506849
UCI,Load_Level,off_peak,1252,5.9491682052612305,6.388288497924805,5.590079307556152,-0.4391200542449951,0.35908907651901245,0.6837060702875399,0.4536741214057508
UCI,Load_Level,peak,2305,9.142516136169434,9.152559280395508,8.066495895385742,-0.01004257332533598,1.07602059841156,0.5353579175704989,0.3657266811279826
UCI,Diurnal,afternoon,978,8.10655403137207,8.434480667114258,7.162540912628174,-0.32792773842811584,0.9440127015113831,0.6063394683026585,0.36809815950920244
UCI,Diurnal,evening,978,8.102118492126465,7.919058799743652,7.0399909019470215,0.18306028842926025,1.0621280670166016,0.5296523517382413,0.3456032719836401
UCI,Diurnal,morning,982,8.085598945617676,8.419835090637207,7.295260906219482,-0.3342369794845581,0.7903382778167725,0.5957230142566191,0.4439918533604888
UCI,Diurnal,night,984,7.923227310180664,7.897066593170166,7.199833393096924,0.026161085814237595,0.7233942747116089,0.5609756097560976,0.3983739837398374
UCI,Weekend_Weekday,0,2818,8.198793411254883,8.306352615356445,7.202416896820068,-0.10755941271781921,0.9963761568069458,0.5660042583392477,0.37260468417317244
UCI,Weekend_Weekday,1,1104,7.685142517089844,7.812910556793213,7.103484630584717,-0.12776826322078705,0.5816574096679688,0.5914855072463768,0.4311594202898551
